id	title	rank	probability
8142	Barkpressare	4610	0,86
5123	Barmästare	4024	0,77
3462	Barn- och ungdomsledare	1472	0,13
2323	Barnavårdslärare, ej yrkesundervisning	193	0,0078
2322	Barnavårdslärare, yrkesundervisning	2564	0,26
2432	Barnbibliotekarie	3548	0,65
9121	Barnflicka, privathem	1319	0,084
3475	Barngymnastikledare	1472	0,13
5131	Barnhemsbiträde	1319	0,084
1318	Barnhemsföreståndare, funktions- eller mellanchef	338	0,015
1318	Barnhemsföreståndare, verksamhetsnära chef	338	0,015
2221	Barnkirurg	13	0,0042
3462	Barnkoloniledare	1472	0,13
3462	Barnkonsulent, församling	1472	0,13
3462	Barnkörledare	1472	0,13
3462	Barnledare, församling	1472	0,13
2221	Barnläkare	13	0,0042
2231	Barnmorska	838	0,038
1110	Barnombudsman, myndighet	1731	0,16
3461	Barnomsorgsassistent	1472	0,13
3461	Barnomsorgsinspektör	1472	0,13
3461	Barnomsorgssekreterare	1472	0,13
9121	Barnpassare, privathem	1319	0,084
2221	Barnpsykiater	13	0,0042
2491	Barnpsykolog	267	0,012
5131	Barnsamarit	1319	0,084
2234	Barnsjuksköterska	838	0,038
5131	Barnskötare	1319	0,084
5131	Barnsköterska, förskola	1319	0,084
5132	Barnsköterska, sjukvård	2962	0,47
3461	Barnstugeassistent	1472	0,13
3461	Barnstugekonsulent	1472	0,13
2491	Barnterapeut	267	0,012
5131	Barntimmeledare	1319	0,084
9121	Barnvakt	1319	0,084
5131	Barnvårdare, förskola	1319	0,084
3473	Barpianist	1158	0,074
5123	Bartender	4024	0,77
3475	Basketspelare	2648	0,28
3475	Baskettränare	7685	0,98
5159	Bassängvakt	4357	0,84
8282	Batteriarbetare	7685	0,98
8229	Batteriskötare, elektrokemi	5183	0,9
3473	Batterist, orkester	1158	0,074
9330	Baxare	4550	0,85
2455	Bearbetningsproducent	2748	0,31
2431	Bebyggelseantikvarie	3991	0,76
2122	Befolkningsstatistiker	2110	0,23
3429	Befraktare	8403	0,99
4132	Befraktningsassistent	6646	0,96
3429	Befraktningschef	8403	0,99
3429	Befraktningsmäklare	8403	0,99
3142	Befälhavare, fartyg	2617	0,27
3441	Befälhavare, kustbevakning	1358	0,098
5142	Begravningsassistent	3166	0,54
5142	Begravningsbyråföreståndare	3166	0,54
5142	Begravningsentreprenör	3166	0,54
5142	Begravningsrepresentant	3166	0,54
5142	Begravningsrådgivare	3166	0,54
3461	Behandlingsassistent, ansvar för utredning o. stödåtgärder	1472	0,13
5134	Behandlingsassistent, vårdare 	2962	0,47
3461	Behandlingspedagog	1472	0,13
3461	Behandlingssamordnare	1472	0,13
3461	Behandlingsterapeut	1472	0,13
3461	Behovsbedömare	1472	0,13
9142	Bellboy	5982	0,94
7123	Belysningsmästare	3331	0,61
7123	Belysningstekniker	3331	0,61
7124	Beläggningsarbetare	5570	0,92
8332	Beläggningsmaskinförare	6270	0,95
4190	Bemanningsassistent, schemaläggare	7685	0,98
7422	Benmakare	6995	0,97
5225	Bensinmacksbiträde	4273	0,83
5227	Bensinmacksföreståndare	2648	0,28
5225	Bensinstationsarbetare	4273	0,83
5225	Bensinstationsbiträde	4273	0,83
5227	Bensinstationsföreståndare	2648	0,28
3112	Beredningsingenjör, bygg och anläggning	6646	0,96
3114	Beredningsingenjör, elektronik	4357	0,84
3114	Beredningsingenjör, elkraft	4357	0,84
3117	Beredningsingenjör, gruva/metallurgi	5361	0,91
3119	Beredningsingenjör, kemiteknik	2220	0,24
3115	Beredningsingenjör, maskin	4095	0,81
3114	Beredningsingenjör, telekommunikation	4357	0,84
3119	Beredningsingenjör, textil, trä m.m.	5183	0,9
2429	Beredningsjurist	1033	0,06
7111	Bergarbetare	6646	0,96
7111	Bergförstärkare	6646	0,96
2114	Berggrundsgeolog	3480	0,63
7111	Bergoperatör	6646	0,96
2147	Bergsingenjör	1731	0,16
7111	Bergsprängare	3012	0,48
8332	Bergtruckförare	6270	0,95
3475	Beridare	2648	0,28
2142	Beräkningsingenjör (bygg), civilingenjör	488	0,019
3112	Beräkningsingenjör (bygg), högskoleingenjör	6646	0,96
2144	Beräkningsingenjör (elektronik), civilingenjör 	2083	0,22
3114	Beräkningsingenjör (elektronik), högskoleingenjör	4357	0,84
2144	Beräkningsingenjör (elkraft), civilingenjör	1376	0,1
3114	Beräkningsingenjör (elkraft), högskoleingenjör	4357	0,84
2145	Beräkningsingenjör (maskin), civilingenjör	3064	0,49
3115	Beräkningsingenjör (maskin), högskoleingenjör	4095	0,81
2144	Beräkningsingenjör (telekommunikation), civilingenjör	601	0,025
3114	Beräkningsingenjör (telekommunikation), högskoleingenjör	4357	0,84
7413	Besiktningsassistent	5982	0,94
